year,country,name,title,hotdogs.buns,minutes,notes
2001,Japan,Takeru Kobayashi,Men,50,12,"20 competitors total. All-time world records set. [15] 2nd: Eric ""Badlands"" Booker (26), 3rd: Oleg Zhornitskiy (25)."
2000,Japan,Kazutoyo Arai,Men,25,12,"Event, Japanese and world records set. Second place: Misao ""Beast"" Fujita (24). Third place Takako Akasaka (22å_ HDB) set the women's record, last appearance of Dominic ""Hot Dog"" Vaccaro."
1999,United States,Steve Keiner,Men,20,12,"Before the contest Keiner is alleged to have eaten half of a hot dog, but judges missed it. He would have been disqualified had the judges seen it. [16]"
1998,Japan,Hirofumi Nakajima,Men,19,12,"Second place: Dominic ""Hot Dog"" Vaccaro (17)."
1997,Japan,Hirofumi Nakajima,Men,24,12,"Event, Japanese and world records set; First time that intergovernmental qualifiers were used"
1996,United States,Ed Krachie,Men,22,12,"Event, U.S. and world records set. [17] World record was later broken December 4, 1996, by Hirofumi Nakajima (23å_) in a hot dog eating contest in Central Park, also setting the Japanese record. [18]"
1995,United States,Ed Krachie,Men,19,12,[19]
1994,United States,Mike Devito,Men,20,12,
1993,United States,Mike Devito,Men,17,12,First time that qualifying events were used to choose contestants
1992,United States,Frank Dellarosa,Men,19,12,
1991,United States,Frank Dellarosa,Men,21,12,1991 event was the reported as 75th annual contest.
1990,United States,Mike Devito,Men,16,12,
1989,United States,Jay Green,Men,15,12,Event advertised as the 73rd annual contest. Green beat 23 other contestants. [20]
1988,United States,Jay Green,Men,10,12,"Green, who finished second the previous year, defeated 12 other contestants. [20] [21]"
1987,United States,Don Wolfman,Men,13,10,Events reported to be the 71st annual contest. [22] Jay Green (13 HDB) finished second. [20]
1986,United States,Mark Heller,Men,15,10,245-pount Mark Heller won the contest of 24 men. Second place Robert Gerber ate 13 hot dogs. [23]
1985,United States,Oscar Rodriguez,Men,11,10,Rodriguez later lost a one-on-one challenge by Japanese student Hiroaki Tominaga. [24]
1984,Germany,Birgit Felden,Men,9,10,"Female champion from Cologne, West Germany. [25]"
1983,United States,Emil Gomez,Men,10,10,"The winner was a 25-year-old, 210-pound accountant from the Bronx. [26]"
1982,United States,Steven Abrams,Men,11,10,"Independence Day was on a Sunday, and therefore held July 5; Winner ate one bite of a twelfth hot dog."
1981,United States,Thomas DeBerry,Men,11,10,Winner stopped eating after five minutes to attend a family barbecue.
1980,United States,Paul Siederman; Joe Baldini,Men,9,10,"Siederman and Baldini both ate nine hot dogs plus part of a tenth in ten minutes. Both ate 3å_ hot dogs in an eat-off, and were declared co-winners. An article on p. 5A of the July 5, 1980 Miami News lists this as the 64th annual contest."
1979,United States,Thomas Stash,Men,19,12,Stash won by downing 19 wieners in a matter of 12 minutes. Impressive by the standards of the day.
1978,United States,Manel Hollenback; Kevin Sinclair,Men,10,6,The contest was held on Memorial Day. A field of 28 contestants saw 18-year-old Hollenback and 10-year-old Sinclair tied for first after devouring 10 hot dogs and buns in 6å_ minutes. [5]
1974,United States,Roberto Muriel,Men,10,3,The 3 å_ minute contest was won by a twenty-two-year-old Brooklyn resident [27] [28]
1972,United States,Jason Schechter,Men,14,3,The contest lasted for 3å_ minutes and was won by a Brooklyn collegiate student. The prize was a certificate for forty more hot dogs. [29]
